character_id,character_name,movie_id,movie_title,gender,credit_position,gender_encoded,character_name_encoded,movie_title_encoded
u0,BIANCA,m0,10 things i hate about you,f,-0.24851622469329104,2,413,1
u1,BRUCE,m0,10 things i hate about you,m,5.539622063200436e-17,3,589,1
u2,CAMERON,m0,10 things i hate about you,m,-0.26410887460554283,3,674,1
u3,CHASTITY,m0,10 things i hate about you,m,5.539622063200436e-17,3,783,1
u4,JOEY,m0,10 things i hate about you,m,-0.21733092486878747,3,2390,1
u5,KAT,m0,10 things i hate about you,f,-0.2797015245177946,2,2499,1
u6,MANDELLA,m0,10 things i hate about you,f,-0.20173827495653568,2,2998,1
u7,MICHAEL,m0,10 things i hate about you,m,-0.23292357478103926,3,3185,1
u8,MISS PERKY,m0,10 things i hate about you,m,5.539622063200436e-17,3,3251,1
u9,PATRICK,m0,10 things i hate about you,m,-0.2952941744300464,3,3794,1
u10,SHARON,m0,10 things i hate about you,m,5.539622063200436e-17,3,4435,1
u11,WALTER,m0,10 things i hate about you,m,-0.1705529751320321,3,5144,1
u12,ALONSO,m1,1492: conquest of paradise,m,5.539622063200436e-17,3,122,2
u13,AROJAZ,m1,1492: conquest of paradise,m,5.539622063200436e-17,3,223,2
u14,BEATRIX,m1,1492: conquest of paradise,m,5.539622063200436e-17,3,343,2
u15,BOBADILLA,m1,1492: conquest of paradise,m,5.539622063200436e-17,3,485,2
u16,COLUMBUS,m1,1492: conquest of paradise,m,-0.2952941744300464,3,933,2
u17,FERNANDO,m1,1492: conquest of paradise,m,5.539622063200436e-17,3,1650,2
u18,ISABEL,m1,1492: conquest of paradise,m,5.539622063200436e-17,3,2256,2
u19,MARCHENA,m1,1492: conquest of paradise,m,-0.21733092486878747,3,3022,2
u20,MENDEZ,m1,1492: conquest of paradise,m,5.539622063200436e-17,3,3169,2
u21,MOXICA,m1,1492: conquest of paradise,m,5.539622063200436e-17,3,3326,2
u22,PINZON,m1,1492: conquest of paradise,m,5.539622063200436e-17,3,3888,2
u23,SAILOR,m1,1492: conquest of paradise,m,5.539622063200436e-17,3,4267,2
u24,SANCHEZ,m1,1492: conquest of paradise,m,5.539622063200436e-17,3,4298,2
u25,UTAPAN,m1,1492: conquest of paradise,m,5.539622063200436e-17,3,5019,2
u26,CUTLER,m2,15 minutes,m,5.539622063200436e-17,3,1060,3
u27,DAPHNE,m2,15 minutes,f,-0.1861456250442839,2,1106,3
u28,DUFFY,m2,15 minutes,m,5.539622063200436e-17,3,1439,3
u29,EDDIE,m2,15 minutes,m,-0.2952941744300464,3,1477,3
u30,EMIL,m2,15 minutes,m,-0.21733092486878747,3,1540,3
u31,HAWKINS,m2,15 minutes,m,5.539622063200436e-17,3,2073,3
u32,HONEY,m2,15 minutes,m,5.539622063200436e-17,3,2158,3
u33,IMMIGRATION OFFICER,m2,15 minutes,m,5.539622063200436e-17,3,2222,3
u34,JORDY,m2,15 minutes,m,-0.2797015245177946,3,2421,3
u35,KORFIN,m2,15 minutes,m,-0.1705529751320321,3,2611,3
u36,LEON,m2,15 minutes,m,5.539622063200436e-17,3,2734,3
u37,MAGGIE,m2,15 minutes,m,5.539622063200436e-17,3,2947,3
u38,MAX,m2,15 minutes,m,5.539622063200436e-17,3,3107,3
u39,MILOS,m2,15 minutes,m,5.539622063200436e-17,3,3219,3
u40,MUGGER,m2,15 minutes,m,5.539622063200436e-17,3,3521,3
u41,NICOLETTE,m2,15 minutes,f,-0.23292357478103926,2,3611,3
u42,OLEG,m2,15 minutes,m,-0.20173827495653568,3,3712,3
u43,ROBERT HAWKINS,m2,15 minutes,m,5.539622063200436e-17,3,4163,3
u44,ROSE,m2,15 minutes,m,5.539622063200436e-17,3,4214,3
u45,SECONDARY OFFICER,m2,15 minutes,m,5.539622063200436e-17,3,4381,3
u46,STEPHEN GELLER,m2,15 minutes,m,5.539622063200436e-17,3,4648,3
u47,TOMMY,m2,15 minutes,m,5.539622063200436e-17,3,4904,3
u48,VENDOR,m2,15 minutes,m,5.539622063200436e-17,3,5050,3
u49,B20,m3,2001: a space odyssey,m,5.539622063200436e-17,3,270,4
u50,BOWMAN,m3,2001: a space odyssey,m,-0.2952941744300464,3,533,4
u51,C12,m3,2001: a space odyssey,m,5.539622063200436e-17,3,653,4
u52,CHILD,m3,2001: a space odyssey,m,5.539622063200436e-17,3,814,4
u53,CO-PILOT,m3,2001: a space odyssey,m,5.539622063200436e-17,3,899,4
u54,ELENA,m3,2001: a space odyssey,m,5.539622063200436e-17,3,1509,4
u55,FLOYD,m3,2001: a space odyssey,m,5.539622063200436e-17,3,1708,4
u56,HAL,m3,2001: a space odyssey,m,-0.20173827495653568,3,2021,4
u57,MICHAELS,m3,2001: a space odyssey,m,5.539622063200436e-17,3,3187,4
u58,MILLER,m3,2001: a space odyssey,m,5.539622063200436e-17,3,3215,4
u59,PILOT,m3,2001: a space odyssey,m,5.539622063200436e-17,3,3876,4
u60,POOLE,m3,2001: a space odyssey,m,-0.2797015245177946,3,3923,4
u61,SMYSLOV,m3,2001: a space odyssey,m,5.539622063200436e-17,3,4549,4
u62,ATTENDANT,m4,48 hrs.,m,5.539622063200436e-17,3,244,5
u63,BARTENDER,m4,48 hrs.,m,5.539622063200436e-17,3,321,5
u64,BILLY,m4,48 hrs.,m,5.539622063200436e-17,3,440,5
u65,CANDY,m4,48 hrs.,m,5.539622063200436e-17,3,680,5
u66,CASEY,m4,48 hrs.,m,5.539622063200436e-17,3,734,5
u67,CATES,m4,48 hrs.,m,-0.2952941744300464,3,751,5
u68,ELAINE,m4,48 hrs.,f,-0.26410887460554283,2,1500,5
u69,GANZ,m4,48 hrs.,m,5.539622063200436e-17,3,1792,5
u70,HADEN,m4,48 hrs.,m,5.539622063200436e-17,3,2017,5
u71,HAMMOND,m4,48 hrs.,m,-0.2797015245177946,3,2033,5
u72,HENRY,m4,48 hrs.,m,5.539622063200436e-17,3,2110,5
u73,KEHOE,m4,48 hrs.,m,5.539622063200436e-17,3,2524,5
u74,LISA,m4,48 hrs.,m,5.539622063200436e-17,3,2792,5
u75,LUTHER,m4,48 hrs.,m,5.539622063200436e-17,3,2897,5
u76,SOSNA,m4,48 hrs.,m,5.539622063200436e-17,3,4584,5
u77,YOUNG COP,m4,48 hrs.,m,5.539622063200436e-17,3,5290,5
u78,CORNELIUS,m5,the fifth element,m,-0.26410887460554283,3,990,493
u79,DAVID,m5,the fifth element,m,5.539622063200436e-17,3,1127,493
u80,DIVA,m5,the fifth element,m,5.539622063200436e-17,3,1270,493
u81,FINGER,m5,the fifth element,m,5.539622063200436e-17,3,1667,493
u82,GIRL,m5,the fifth element,m,5.539622063200436e-17,3,1886,493
u83,KOMMANDER,m5,the fifth element,m,5.539622063200436e-17,3,2603,493
u84,KORBEN,m5,the fifth element,m,-0.2952941744300464,3,2606,493
u85,LEELOO,m5,the fifth element,f,-0.24851622469329104,2,2721,493
u86,LOC RHOD,m5,the fifth element,m,5.539622063200436e-17,3,2811,493
u87,MACTILBURGH,m5,the fifth element,m,5.539622063200436e-17,3,2928,493
u88,MOTHER,m5,the fifth element,m,5.539622063200436e-17,3,3315,493
u89,MUGGER,m5,the fifth element,m,5.539622063200436e-17,3,3521,493
u90,MUNRO,m5,the fifth element,m,5.539622063200436e-17,3,3532,493
u91,PRESIDENT,m5,the fifth element,m,5.539622063200436e-17,3,3941,493
u92,PRIEST,m5,the fifth element,m,5.539622063200436e-17,3,3949,493
u93,PROFESSOR,m5,the fifth element,m,5.539622063200436e-17,3,3968,493
u94,SECRETARY,m5,the fifth element,m,5.539622063200436e-17,3,4384,493
u95,SHADOW,m5,the fifth element,m,5.539622063200436e-17,3,4427,493
u96,STAEDERT,m5,the fifth element,m,5.539622063200436e-17,3,4619,493
u97,THAI,m5,the fifth element,m,5.539622063200436e-17,3,4815,493
u98,VOICE,m5,the fifth element,m,5.539622063200436e-17,3,5111,493
u99,ZORG,m5,the fifth element,m,5.539622063200436e-17,3,5347,493
u100,AMY,m6,8mm,f,-0.20173827495653568,2,146,6
u101,ANGRY DEALER,m6,8mm,m,5.539622063200436e-17,3,171,6
u102,DINO,m6,8mm,m,5.539622063200436e-17,3,1259,6
u103,DINO VELVET,m6,8mm,m,-0.24851622469329104,3,1260,6
u104,DIRECTOR,m6,8mm,m,5.539622063200436e-17,3,1263,6
u105,EDDIE,m6,8mm,m,-0.26410887460554283,3,1477,6
u106,LONGDALE,m6,8mm,m,-0.23292357478103926,3,2821,6
u107,MALE VOICE,m6,8mm,m,5.539622063200436e-17,3,2971,6
u108,MAX,m6,8mm,m,-0.2797015245177946,3,3107,6
u109,MRS CHRISTIAN,m6,8mm,M,5.539622063200436e-17,1,3407,6
u110,MRS MATHEWS,m6,8mm,M,5.539622063200436e-17,1,3410,6
u111,NUN,m6,8mm,m,5.539622063200436e-17,3,3661,6
u112,POLITICIAN,m6,8mm,m,5.539622063200436e-17,3,3914,6
u113,SALESPERSON,m6,8mm,m,5.539622063200436e-17,3,4274,6
u114,WELLES,m6,8mm,m,-0.2952941744300464,3,5173,6
u115,ALICE,m7,a nightmare on elm street 4: the dream master,f,-0.2952941744300464,2,106,12
u116,DAN,m7,a nightmare on elm street 4: the dream master,m,-0.26410887460554283,3,1096,12
u117,DEBBIE,m7,a nightmare on elm street 4: the dream master,m,5.539622063200436e-17,3,1150,12
u118,ELAINE,m7,a nightmare on elm street 4: the dream master,m,5.539622063200436e-17,3,1500,12
u119,KRISTEN,m7,a nightmare on elm street 4: the dream master,m,5.539622063200436e-17,3,2625,12
u120,NURSE,m7,a nightmare on elm street 4: the dream master,m,5.539622063200436e-17,3,3663,12
u121,RICK,m7,a nightmare on elm street 4: the dream master,m,5.539622063200436e-17,3,4136,12
u122,SHEILA,m7,a nightmare on elm street 4: the dream master,m,5.539622063200436e-17,3,4444,12
u123,ALICE,m8,a nightmare on elm street: the dream child,f,-0.2797015245177946,2,106,14
